Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Quick Sort Pivo Fixo,aleatorio,10,1,0,29,22
Quick Sort Pivo Fixo,aleatorio,20,1,0,64,48
Quick Sort Pivo Fixo,aleatorio,30,2,0,111,79
Quick Sort Pivo Fixo,aleatorio,40,2,0,212,145
Quick Sort Pivo Fixo,aleatorio,50,4,0,223,154
Quick Sort Pivo Fixo,aleatorio,60,5,0,370,209
Quick Sort Pivo Fixo,aleatorio,70,5,0,419,254
Quick Sort Pivo Fixo,aleatorio,80,7,0,571,378
Quick Sort Pivo Fixo,aleatorio,90,6,0,511,322
Quick Sort Pivo Fixo,aleatorio,100,6,0,741,466
Quick Sort Pivo Fixo,aleatorio,110,8,0,652,401
Quick Sort Pivo Fixo,aleatorio,120,9,0,785,414
Quick Sort Pivo Fixo,aleatorio,130,10,0,916,431
Quick Sort Pivo Fixo,aleatorio,140,13,0,1186,747
Quick Sort Pivo Fixo,aleatorio,150,14,0,1299,852
Quick Sort Pivo Fixo,aleatorio,160,13,0,1326,836
Quick Sort Pivo Fixo,aleatorio,170,14,0,1354,905
Quick Sort Pivo Fixo,aleatorio,180,13,0,1290,841
Quick Sort Pivo Fixo,aleatorio,190,15,0,1398,853
Quick Sort Pivo Fixo,aleatorio,200,17,0,1827,952
Quick Sort Pivo Fixo,aleatorio,210,13,0,1553,933
Quick Sort Pivo Fixo,aleatorio,220,19,0,1968,1342
Quick Sort Pivo Fixo,aleatorio,230,18,0,1665,963
Quick Sort Pivo Fixo,aleatorio,240,16,0,2100,1338
Quick Sort Pivo Fixo,aleatorio,250,20,0,2034,1030
Quick Sort Pivo Fixo,aleatorio,260,20,0,2004,1071
Quick Sort Pivo Fixo,aleatorio,270,19,0,2358,1336
Quick Sort Pivo Fixo,aleatorio,280,25,0,2776,1712
Quick Sort Pivo Fixo,aleatorio,290,23,0,2423,1451
Quick Sort Pivo Fixo,aleatorio,300,25,0,2999,1496
Quick Sort Pivo Fixo,aleatorio,310,29,0,2745,1795
Quick Sort Pivo Fixo,aleatorio,320,26,0,2872,1751
Quick Sort Pivo Fixo,aleatorio,330,29,0,2680,1392
Quick Sort Pivo Fixo,aleatorio,340,27,0,2752,1543
Quick Sort Pivo Fixo,aleatorio,350,23,0,3052,1489
Quick Sort Pivo Fixo,aleatorio,360,25,0,3488,1823
Quick Sort Pivo Fixo,aleatorio,370,32,0,3061,1874
Quick Sort Pivo Fixo,aleatorio,380,28,0,3472,1963
Quick Sort Pivo Fixo,aleatorio,390,26,0,3407,2047
Quick Sort Pivo Fixo,aleatorio,400,35,0,3745,2298
Quick Sort Pivo Fixo,aleatorio,410,29,0,3718,2248
Quick Sort Pivo Fixo,aleatorio,420,32,0,3745,2181
Quick Sort Pivo Fixo,aleatorio,430,38,0,3536,2248
Quick Sort Pivo Fixo,aleatorio,440,41,0,4324,2742
Quick Sort Pivo Fixo,aleatorio,450,31,0,4194,2279
Quick Sort Pivo Fixo,aleatorio,460,42,0,4444,2710
Quick Sort Pivo Fixo,aleatorio,470,34,0,5565,2838
Quick Sort Pivo Fixo,aleatorio,480,47,0,4132,2496
Quick Sort Pivo Fixo,aleatorio,490,46,0,4669,2798
Quick Sort Pivo Fixo,aleatorio,500,43,0,4705,2413
Quick Sort Pivo Fixo,aleatorio,510,36,0,4964,2851
Quick Sort Pivo Fixo,aleatorio,520,49,0,5314,3233
Quick Sort Pivo Fixo,aleatorio,530,41,0,5411,2862
Quick Sort Pivo Fixo,aleatorio,540,44,0,4681,2671
Quick Sort Pivo Fixo,aleatorio,550,43,0,6173,3474
Quick Sort Pivo Fixo,aleatorio,560,41,0,5036,2996
Quick Sort Pivo Fixo,aleatorio,570,57,0,5368,2934
Quick Sort Pivo Fixo,aleatorio,580,55,0,5236,3006
Quick Sort Pivo Fixo,aleatorio,590,58,0,5535,3355
Quick Sort Pivo Fixo,aleatorio,600,51,0,5706,3353
Quick Sort Pivo Fixo,aleatorio,610,50,0,6060,3941
Quick Sort Pivo Fixo,aleatorio,620,57,0,6126,3309
Quick Sort Pivo Fixo,aleatorio,630,48,0,6402,3551
Quick Sort Pivo Fixo,aleatorio,640,54,0,6735,3920
Quick Sort Pivo Fixo,aleatorio,650,58,0,6480,3275
Quick Sort Pivo Fixo,aleatorio,660,60,0,6655,3825
Quick Sort Pivo Fixo,aleatorio,670,66,0,7011,4018
Quick Sort Pivo Fixo,aleatorio,680,60,0,7467,4244
Quick Sort Pivo Fixo,aleatorio,690,56,0,7341,4423
Quick Sort Pivo Fixo,aleatorio,700,66,0,6760,3575
Quick Sort Pivo Fixo,aleatorio,710,55,0,7812,3966
Quick Sort Pivo Fixo,aleatorio,720,68,0,7312,4103
Quick Sort Pivo Fixo,aleatorio,730,58,0,7176,4147
Quick Sort Pivo Fixo,aleatorio,740,241,0,7590,4003
Quick Sort Pivo Fixo,aleatorio,750,71,0,8714,4534
Quick Sort Pivo Fixo,aleatorio,760,69,0,7821,4219
Quick Sort Pivo Fixo,aleatorio,770,72,0,7821,4633
Quick Sort Pivo Fixo,aleatorio,780,80,0,8263,4679
Quick Sort Pivo Fixo,aleatorio,790,72,0,8469,3992
Quick Sort Pivo Fixo,aleatorio,800,77,0,8485,4604
Quick Sort Pivo Fixo,aleatorio,810,71,0,9939,5563
Quick Sort Pivo Fixo,aleatorio,820,104,0,8817,4289
Quick Sort Pivo Fixo,aleatorio,830,65,0,9346,4794
Quick Sort Pivo Fixo,aleatorio,840,80,0,9269,5480
Quick Sort Pivo Fixo,aleatorio,850,80,0,10122,6134
Quick Sort Pivo Fixo,aleatorio,860,84,0,9089,5188
Quick Sort Pivo Fixo,aleatorio,870,83,0,9412,5156
Quick Sort Pivo Fixo,aleatorio,880,71,0,10705,6606
Quick Sort Pivo Fixo,aleatorio,890,90,0,10270,6036
Quick Sort Pivo Fixo,aleatorio,900,94,0,10315,5579
Quick Sort Pivo Fixo,aleatorio,910,182,0,9706,4934
Quick Sort Pivo Fixo,aleatorio,920,91,0,9916,5999
Quick Sort Pivo Fixo,aleatorio,930,68,0,10187,5072
Quick Sort Pivo Fixo,aleatorio,940,91,0,9903,4980
Quick Sort Pivo Fixo,aleatorio,950,98,0,10146,6123
Quick Sort Pivo Fixo,aleatorio,960,78,0,10796,6014
Quick Sort Pivo Fixo,aleatorio,970,88,0,9903,5677
Quick Sort Pivo Fixo,aleatorio,980,96,0,10151,6183
Quick Sort Pivo Fixo,aleatorio,990,102,0,10486,6368
